count,correct,verified,unsafe,image_time,avg_verif_time,cum_verif_time,model,epsilon
100,78,10,0,0.316,0.331,25.843,DiffAI/out/MNIST/FFNN/ReLU/boxSpec/width_0.01/2022-05-04111011.772048/FFNN__Mix_a_PGD_r_3k_16restart_2_w_0.1__b_BiAdv_a_IFGSM_k_5_w_0.05___bw_0.1__checkpoint_11_with_0.869.onnx,0.08
100,78,10,0,0.341,0.351,27.352,DiffAI/out/MNIST/FFNN/ReLU/boxSpec/width_0.01/2022-05-04111011.772048/FFNN__Mix_a_PGD_r_3k_16restart_2_w_0.1__b_BiAdv_a_IFGSM_k_5_w_0.05___bw_0.1__checkpoint_11_with_0.869.onnx,0.085
100,78,5,0,0.354,0.365,28.505,DiffAI/out/MNIST/FFNN/ReLU/boxSpec/width_0.01/2022-05-04111011.772048/FFNN__Mix_a_PGD_r_3k_16restart_2_w_0.1__b_BiAdv_a_IFGSM_k_5_w_0.05___bw_0.1__checkpoint_11_with_0.869.onnx,0.09
100,78,2,0,0.363,0.379,29.534,DiffAI/out/MNIST/FFNN/ReLU/boxSpec/width_0.01/2022-05-04111011.772048/FFNN__Mix_a_PGD_r_3k_16restart_2_w_0.1__b_BiAdv_a_IFGSM_k_5_w_0.05___bw_0.1__checkpoint_11_with_0.869.onnx,0.095
100,78,2,0,0.38,0.388,30.236,DiffAI/out/MNIST/FFNN/ReLU/boxSpec/width_0.01/2022-05-04111011.772048/FFNN__Mix_a_PGD_r_3k_16restart_2_w_0.1__b_BiAdv_a_IFGSM_k_5_w_0.05___bw_0.1__checkpoint_11_with_0.869.onnx,0.1
100,11,11,0,0.014,0.356,3.913,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03132019.716437/FFNN__Point___checkpoint_11_with_0.983.onnx,0.005
100,11,11,0,0.016,0.368,4.05,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03132019.716437/FFNN__Point___checkpoint_11_with_0.983.onnx,0.01
100,11,11,0,0.014,0.362,3.984,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03132019.716437/FFNN__Point___checkpoint_11_with_0.983.onnx,0.015
100,11,6,0,0.017,0.492,5.413,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03132019.716437/FFNN__Point___checkpoint_11_with_0.983.onnx,0.02
100,11,0,0,0.019,0.706,7.762,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03132019.716437/FFNN__Point___checkpoint_11_with_0.983.onnx,0.025
100,11,0,0,0.019,0.729,8.022,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03132019.716437/FFNN__Point___checkpoint_11_with_0.983.onnx,0.03
100,11,0,0,0.015,0.69,7.588,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03132019.716437/FFNN__Point___checkpoint_11_with_0.983.onnx,0.035
100,11,0,0,0.016,0.651,7.157,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03132019.716437/FFNN__Point___checkpoint_11_with_0.983.onnx,0.04
100,11,0,0,0.015,0.666,7.331,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03132019.716437/FFNN__Point___checkpoint_11_with_0.983.onnx,0.045
100,11,0,0,0.017,0.667,7.336,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03132019.716437/FFNN__Point___checkpoint_11_with_0.983.onnx,0.05
100,11,0,0,0.014,0.676,7.438,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03132019.716437/FFNN__Point___checkpoint_11_with_0.983.onnx,0.055
100,11,0,0,0.014,0.69,7.592,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03132019.716437/FFNN__Point___checkpoint_11_with_0.983.onnx,0.06
100,11,0,0,0.015,0.676,7.435,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03132019.716437/FFNN__Point___checkpoint_11_with_0.983.onnx,0.065
100,11,0,0,0.017,0.684,7.529,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03132019.716437/FFNN__Point___checkpoint_11_with_0.983.onnx,0.07
100,11,0,0,0.015,0.69,7.585,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03132019.716437/FFNN__Point___checkpoint_11_with_0.983.onnx,0.075
100,11,0,0,0.022,0.692,7.614,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03132019.716437/FFNN__Point___checkpoint_11_with_0.983.onnx,0.08
100,11,0,0,0.017,0.688,7.569,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03132019.716437/FFNN__Point___checkpoint_11_with_0.983.onnx,0.085
100,11,0,0,0.015,0.664,7.304,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03132019.716437/FFNN__Point___checkpoint_11_with_0.983.onnx,0.09
100,11,0,0,0.015,0.675,7.424,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03132019.716437/FFNN__Point___checkpoint_11_with_0.983.onnx,0.095
100,11,0,0,0.014,0.655,7.209,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03132019.716437/FFNN__Point___checkpoint_11_with_0.983.onnx,0.1
100,14,14,0,0.015,0.321,4.499,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03102850.574554/FFNN__Mix_a_PGD_r_3k_16restart_2_w_0.1__b_BiAdv_a_IFGSM_k_5_w_0.05___bw_0.1__checkpoint_11_with_0.940.onnx,0.005
100,14,14,0,0.016,0.328,4.597,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03102850.574554/FFNN__Mix_a_PGD_r_3k_16restart_2_w_0.1__b_BiAdv_a_IFGSM_k_5_w_0.05___bw_0.1__checkpoint_11_with_0.940.onnx,0.01
100,14,14,0,0.017,0.343,4.808,DiffAI/out/MNIST/FFNN/ELU/boxSpec/width_0.01/2022-05-03102850.574554/FFNN__Mix_a_PGD_r_3k_16restart_2_w_0.1__b_BiAdv_a_IFGSM_k_5_w_0.05___bw_0.1__checkpoint_11_with_0.940.onnx,0.015
